Con,AgtId,Dat,Stage,StageSub,GeWom,Del_N,NADel_N,FemDel_Bin,FemDel_N,FemDel_P,Sig_N,FemSig_N,FemSig_P,Ob_N,FemOb_N,FemOb_P,Neg_N,FemNeg_N,FemNeg_P,Med_N,FemMed_N,FemMed_P,Log_N,FemLog_N,FemLog_P,Adv_N,FemAdv_N,FemAdv_P,WomCom_N,WomCom_P,FemWomCom_N,FemWomCom_P
Angola,439,1994-11-15,SubComp,FrAg,0,8,3,0,0,0,2,0,0,3,0,0,2,0,0,1,0,0,0,0,,0,0,,0,0,0,
Angola/Cabinda ,1336,2006-08-01,SubComp,FrAg,1,5,3,0,0,0,2,0,0,3,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Argentina/United Kingdom,423,1995-09-27,SubComp,FrAg,0,3,0,0,0,0,3,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Bahrain,1415,2011-07-28,SubComp,FrAg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh/Chittagong Hill Tracts,238,1997-12-02,SubComp,FrAg,1,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Bosnia and Herzegovina/Yugoslavia (former),389,1995-11-21,SubComp,FrAg,1,18,3,1,2,0.111111111,12,1,0.083333333,5,1,0.2,0,0,,1,0,0,0,0,,0,0,,0,0,0,
Bosnia and Herzegovina/Yugoslavia (former),472,1993-09-16,SubComp,FrAg,1,13,0,0,0,0,9,0,0,4,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Bosnia and Herzegovina/Yugoslavia (former),606,1993-05-02,SubComp,FrAg,1,5,0,0,0,0,3,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Bosnia and Herzegovina/Yugoslavia (former),608,1994-03-01,SubComp,FrAg,1,3,0,0,0,0,3,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Burundi,306,2000-08-28,SubComp,FrAg,1,37,3,0,0,0,18,0,0,19,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Burundi,702,2006-06-18,SubComp,FrAg,1,8,0,0,0,0,2,0,0,6,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Burundi,1419,2003-11-21,SubComp,FrCons,0,4,0,0,0,0,4,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Burundi,1421,2005-03-18,SubComp,FrCons,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,1425,2001-10-28,SubComp,FrCons,1,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Cambodia,252,1991-10-23,SubComp,FrAg,1,24,23,0,0,0,5,0,0,18,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Cambodia,378,1991-10-23,SubComp,FrAg,0,27,14,1,1,0.037037037,5,0,0,13,0,0,6,0,0,3,1,0.333333333,0,0,,0,0,,0,0,0,
Central African Republic,1659,2013-07-18,SubComp,FrCons,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,2147,2019-02-05,SubComp,FrAg,1,26,8,1,1,0.038461538,15,1,0.066666667,2,0,0,0,0,,9,0,0,0,0,,0,0,,0,0,0,
Central African Republic,2189,2018-05-03,SubComp,FrAg,0,23,1,1,1,0.043478261,5,1,0.2,16,0,0,0,0,,2,0,0,0,0,,0,0,,0,0,0,
Central African Republic,2195,2018-04-09,SubComp,FrAg,1,13,0,1,1,0.076923077,13,1,0.076923077,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Central African Republic,2197,2016-02-11,SubComp,FrAg,1,14,0,1,3,0.214285714,13,3,0.230769231,0,0,,0,0,,1,0,0,0,0,,0,0,,0,0,0,
Central African Republic,2371,2020-11-10,SubComp,FrAg,1,30,0,1,2,0.066666667,30,2,0.066666667,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Chad/Sudan,1066,2006-02-08,SubComp,FrAg,0,6,0,0,0,0,2,0,0,0,0,,0,0,,4,0,0,0,0,,0,0,,0,0,0,
Colombia,147,1994-05-26,SubComp,FrAg,0,18,0,0,0,0,4,0,0,1,0,0,6,0,0,0,0,,0,0,,7,0,0,0,0,0,
Colombia,149,1991-02-15,SubComp,FrAg,0,15,0,0,0,0,2,0,0,2,0,0,5,0,0,0,0,,0,0,,6,0,0,0,0,0,
Colombia,150,1998-07-29,SubComp,FrAg,0,15,0,1,1,0.066666667,9,1,0.111111111,2,0,0,4,0,0,0,0,,0,0,,0,0,,0,0,0,
Colombia,151,1991-05-27,SubComp,FrAg,1,21,0,0,0,0,7,0,0,0,0,,0,0,,3,0,0,0,0,,11,0,0,0,0,0,
Colombia,152,1991-01-25,SubComp,FrAg,0,11,0,0,0,0,6,0,0,0,0,,0,0,,0,0,,0,0,,5,0,0,0,0,0,
Colombia,163,1991-07-01,SubComp,FrCons,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,168,1990-03-09,SubComp,FrAg,0,7,0,0,0,0,4,0,0,2,0,0,0,0,,0,0,,0,0,,1,0,0,0,0,0,
Colombia,173,1994-04-09,SubComp,FrAg,0,7,0,0,0,0,5,0,0,1,0,0,0,0,,0,0,,0,0,,1,0,0,0,0,0,
Colombia,1845,2016-11-24,SubComp,FrAg,1,6,4,0,0,0,2,0,0,4,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Comoros/Anjouan,1334,2001-12-23,SubComp,FrCons,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire,436,2003-01-23,SubComp,FrAg,1,14,3,0,0,0,10,0,0,0,0,,0,0,,2,0,0,0,0,,0,0,,0,0,0,
Democratic Republic of Congo,404,2003-04-02,SubComp,FrAg,1,47,0,1,2,0.042553191,44,2,0.045454545,3,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Democratic Republic of Congo,722,2009-03-23,SubComp,FrAg,1,4,0,0,0,0,2,0,0,0,0,,0,0,,2,0,0,0,0,,0,0,,0,0,0,
Democratic Republic of Congo,893,2006-11-29,SubComp,FrAg,0,5,0,0,0,0,4,0,0,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Democratic Republic of Congo,1303,2003-04-01,SubComp,FrCons,1,72,68,0,0,0,68,0,0,4,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Democratic Republic of Congo,1913,2016-12-31,SubComp,FrAg,1,34,0,1,3,0.088235294,16,2,0.125,16,1,0.0625,0,0,,2,0,0,0,0,,0,0,,0,0,0,
Democratic Republic of Congo/Rwanda/(African Great Lakes),675,2007-11-09,SubComp,FrAg,0,6,0,1,1,0.166666667,2,0,0,3,1,0.333333333,0,0,,1,0,0,0,0,,0,0,,0,0,0,
Djibouti,197,2000-02-07,SubComp,FrAg,0,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Djibouti,245,1994-12-26,SubComp,FrAg,0,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Djibouti,624,2001-05-12,SubComp,FrAg,0,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Ecuador/Peru,212,1998-10-26,SubComp,FrAg,0,8,0,0,0,0,4,0,0,4,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Ecuador/Peru,626,1998-10-26,SubComp,FrAg,0,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
El Salvador,474,1992-01-16,SubComp,FrAg,1,17,0,1,2,0.117647059,16,2,0.125,0,0,,0,0,,1,0,0,0,0,,0,0,,0,0,0,
Eritrea/Ethiopia,2097,2018-07-09,SubComp,FrAg,0,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Eritrea/Ethiopia,2098,2018-09-16,SubComp,FrAg,0,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Eritrea/Somalia,2100,2018-07-30,SubComp,FrAg,0,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Ethiopia,1300,1991-07-22,SubComp,FrAg,0,1,0,0,0,0,0,0,,0,0,,0,0,,1,0,0,0,0,,0,0,,0,0,0,
Ethiopia/Somalia/Ogaden/Puntland,1853,2007-05-06,SubComp,FrAg,0,13,6,0,0,0,2,0,0,0,0,,2,0,0,0,0,,0,0,,0,0,,0,0,0,
Ethiopia/Somalia/Ogaden/Puntland,1854,2007-05-07,SubComp,FrAg,0,75,0,0,0,0,45,0,0,10,0,0,0,0,,15,0,0,1,0,,0,0,,0,0,0,
Ethiopia/Somalia/Ogaden/Puntland,1855,1997-05-15,SubComp,FrAg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia/Somalia/Ogaden/Puntland,1856,2007-03-10,SubComp,FrAg,1,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
France/Germany/Russia/United Kingdom/United States of America,1887,1990-09-12,SubComp,FrAg,0,6,2,0,0,0,6,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Gabon,8,1994-10-07,SubComp,FrAg,0,92,0,1,4,0.043478261,21,0,0,6,0,0,53,3,0.056603774,9,0,0,1,1,1,0,0,,0,0,0,
Guatemala,254,1996-12-29,SubComp,FrAg,1,12,0,1,1,0.083333333,10,1,0.1,1,0,0,0,0,,1,0,0,0,0,,0,0,,0,0,0,
Guinea,1915,2016-10-12,SubComp,FrAg,0,13,0,1,1,0.076923077,5,0,0,8,1,0.125,0,0,,0,0,,0,0,,0,0,,0,0,0,
India/Darjeeling,1716,2011-07-18,SubComp,FrAg,1,5,0,1,1,0.2,3,0,0,2,1,0.5,0,0,,0,0,,0,0,,0,0,,0,0,0,
India/Darjeeling,1717,2005-12-06,SubComp,FrAg,0,5,0,0,0,0,3,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
India/Mizoram,1836,2005-04-26,SubComp,FrAg,0,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
India/Mizoram,1837,1994-07-27,SubComp,FrAg,0,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Iraq,343,2005-10-15,SubComp,FrCons,1,8,8,0,0,0,0,0,,0,0,,0,0,,1,0,0,0,0,,0,0,,0,0,0,
Iraq,1422,2004-03-08,SubComp,FrCons,1,25,0,1,3,0.12,25,3,0.12,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Ireland/United Kingdom/Northern Ireland,556,1998-04-10,SubComp,FrAg,1,14,0,1,3,0.214285714,14,3,0.214285714,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Israel/Jordan/(Palestine),594,1994-10-26,SubComp,FrAg,0,7,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,0,
Kosovo/Serbia/Yugoslavia (former),405,1999-02-23,SubComp,FrAg,1,8,2,0,0,0,5,0,0,2,0,0,1,0,0,0,0,,0,0,,0,0,,0,0,0,
Liberia,338,2003-08-18,SubComp,FrAg,1,36,26,1,1,0.027777778,23,0,0,12,1,0.083333333,0,0,,0,0,,1,0,0,0,0,,0,0,0,
Libya,728,2011-08-03,SubComp,FrCons,1,16,0,1,1,0.0625,16,1,0.0625,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Libya,1370,2015-12-17,SubComp,FrCons,1,8,8,0,0,0,3,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Macedonia/Yugoslavia (former),381,2001-08-13,SubComp,FrAg,0,7,0,0,0,0,5,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Madagascar,836,2009-08-09,SubComp,FrCons,0,8,0,0,0,0,4,0,0,4,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Madagascar,2048,2002-04-18,SubComp,FrAg,0,8,0,0,0,0,4,0,0,0,0,,0,0,,4,0,0,0,0,,0,0,,0,0,0,
Madagascar,2049,2002-06-09,SubComp,FrAg,0,9,0,0,0,0,2,0,0,0,0,,0,0,,7,0,0,0,0,,0,0,,0,0,0,
Mali,2177,2018-08-28,SubComp,FrAg,0,35,0,1,1,0.028571429,33,1,0.03030303,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Mali,2293,2019-08-16,SubComp,FrAg,0,8,3,0,0,0,5,0,0,0,0,,0,0,,3,0,0,0,0,,0,0,,0,0,0,
Mali/Azawad,637,1992-04-11,SubComp,FrAg,1,10,7,0,0,0,3,0,0,0,0,,0,0,,7,0,0,0,0,,0,0,,0,0,0,
Mali/Azawad,1365,2015-06-20,SubComp,FrAg,1,29,0,1,6,0.206896552,7,0,0,4,3,0.75,0,0,,18,3,0.166666667,0,0,,0,0,,0,0,0,
Mozambique,392,1992-10-04,SubComp,FrAg,0,19,0,1,1,0.052631579,2,0,0,13,1,0.076923077,0,0,,4,0,0,0,0,,0,0,,0,0,0,
Nepal,333,2006-11-21,SubComp,FrAg,1,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Nepal,1322,2007-01-15,SubComp,FrCons,1,3,0,0,0,0,0,0,,1,0,0,0,0,,0,0,,2,0,,0,0,,0,0,0,
Nepal,1361,2015-09-20,SubComp,FrCons,1,22,0,1,3,0.136363636,0,0,,0,0,,22,3,0.136363636,0,0,,0,0,,0,0,,0,0,0,
Niger/Air and Azawad,204,1995-04-15,SubComp,FrAg,0,5,0,0,0,0,2,0,0,0,0,,0,0,,3,0,0,0,0,,0,0,,0,0,0,
Nigeria,1911,2017-01-06,SubComp,FrAg,0,7,3,0,0,0,7,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Nigeria,1921,2016-03-23,SubComp,FrAg,1,235,1,1,65,0.276595745,191,32,0.167539267,14,4,0.285714286,0,0,,0,0,,0,0,,0,0,,30,0.127659574,29,0.966666667
Nigeria/Plateau State,1536,2014-12-14,SubComp,FrAg,1,20,1,1,3,0.15,11,1,0.090909091,9,2,0.222222222,0,0,,0,0,,0,0,,0,0,,0,0,0,
Papua New Guinea/Bougainville,312,2001-08-30,SubComp,FrAg,1,22,1,1,1,0.045454545,16,1,0.0625,5,0,,0,0,,1,0,0,0,0,,0,0,,0,0,0,
Rwanda,475,1993-08-04,SubComp,FrAg,0,18,6,0,0,0,2,0,0,13,0,0,0,0,,3,0,0,0,0,,0,0,,0,0,0,
Sierra Leone,476,1996-11-30,SubComp,FrAg,0,7,0,1,1,0.142857143,3,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Sierra Leone,478,1999-07-07,SubComp,FrAg,1,17,4,1,1,0.058823529,2,0,0,10,1,0.1,0,0,,5,0,0,0,0,,0,0,,0,0,0,
Somalia,216,1993-03-27,SubComp,FrAg,1,19,4,0,0,0,15,0,0,3,0,0,0,0,,1,0,0,0,0,,0,0,,0,0,0,
Somalia,590,2004-01-29,SubComp,FrAg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somalia,745,2011-09-06,SubComp,FrAg,1,16,3,0,0,0,4,0,0,7,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,0,
Somalia,1360,2012-08-01,SubComp,FrCons,1,18,0,0,0,0,18,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Somalia,1858,2007-01-15,SubComp,FrAg,0,71,11,1,4,0.056338028,30,1,0.033333333,0,0,,34,3,0.088235294,1,0,0,0,0,,0,0,,0,0,0,
Somalia,1859,2007-02-18,SubComp,FrAg,0,231,0,1,40,0.173160173,0,0,,21,0,0,134,0,0,26,0,0,10,5,0.5,0,0,,40,0.173160173,35,0.875
South Africa,407,1993-11-18,SubComp,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Sudan,906,2015-01-21,SubComp,FrAg,1,11,0,0,0,0,3,0,0,6,0,0,0,0,,2,0,0,0,0,,0,0,,0,0,0,
South Sudan,1186,2014-08-25,SubComp,,1,11,0,0,0,0,2,0,0,3,0,0,0,0,,6,0,0,0,0,,0,0,,0,0,0,
South Sudan,1357,2015-08-17,SubComp,FrAg,1,30,15,1,1,0.033333333,4,0,0,19,0,0,4,1,0.25,3,0,0,0,0,,0,0,,0,0,0,
South Sudan,1675,2014-05-09,SubComp,FrAg,1,6,0,0,0,0,2,0,0,3,0,,0,0,,1,0,0,0,0,,0,0,,0,0,0,
South Sudan,2112,2018-09-12,SubComp,FrAg,1,46,11,1,6,0.130434783,10,0,0,17,0,0,17,6,0.352941176,2,0,0,0,0,,0,0,,0,0,0,
South Sudan,2286,2016-04-02,SubComp,FrAg,1,7,1,1,1,0.142857143,2,0,0,1,0,0,3,1,0.333333333,1,0,0,0,0,,0,0,,0,0,0,
South Sudan,2310,2020-03-06,SubComp,FrAg,1,26,0,1,6,0.230769231,23,6,0.260869565,3,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
South Sudan/Sudan,337,2005-01-09,SubComp,FrAg,1,16,0,1,2,0.125,2,0,0,14,2,0.142857143,0,0,,0,0,,0,0,,0,0,,0,0,0,
South Sudan/Sudan,1800,2005-07-06,SubComp,FrCons,1,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
South Sudan/Sudan/Southern Kordofan - Blue Nile - Abyei,1673,2010-01-25,SubComp,FrAg,1,13,0,0,0,0,11,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Sri Lanka,1007,2000-08-03,SubComp,FrCons,1,211,1,1,13,0.061611374,2,0,0,0,0,,209,13,0.062200957,0,0,,0,0,,0,0,,0,0,0,
Sudan,1060,2005-06-18,SubComp,FrAg,1,5,0,0,0,0,2,0,0,0,0,,2,0,0,1,0,0,0,0,,0,0,,0,0,0,
Sudan,2325,2020-10-03,SubComp,FrAg,1,28,9,0,0,0,14,0,0,10,0,0,0,0,,0,0,,0,0,,1,0,0,0,0,0,
Sudan/Darfur,350,2006-05-05,SubComp,FrAg,1,18,1,1,1,0.055555556,3,0,0,15,1,0.066666667,0,0,,0,0,,0,0,,0,0,,0,0,0,
Sudan/Darfur,853,2011-05-31,SubComp,FrAg,1,20,20,0,0,0,1,0,0,19,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Sudan/Eastern Sudan,373,2006-06-19,SubComp,,1,3,3,0,0,0,2,0,0,0,0,,0,0,,1,0,0,0,0,,0,0,,0,0,0,
Syria,1865,2013-02-18,SubComp,FrAg,0,2,2,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Yemen,2227,2019-04-07,SubComp,FrAg,0,48,8,0,0,0,41,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Zimbabwe,1340,2013-03-19,SubComp,FrCons,1,NA,NA,1,NA,0.22,1,0,0,0,0,,NA,0,NA,0,0,,0,0,,0,0,,0,NA,0,